firstName,lastName,canton,party,uuid
Jean-Luc,Addor,VS,SVP,d51c4fe9-1458-456d-8ee8-44f8fc546207
Andreas,Aebi,BE,SVP,3f566563-180a-4cc7-84de-ad0a3f1ab3b1
Matthias,Aebischer,BE,SP,67f02d05-bd89-45f1-ab5c-a303efcb7804
Thomas,Aeschi,ZG,SVP,efabc6d5-3c44-42bb-8969-af2295ac65a3
Céline,Amaudruz,GE,SVP,7580e8d2-1953-46f5-b9be-7717f93f4d1a
Emmanuel,Amoos,VS,SP,1131092a-defe-4181-9e8c-1703c316a1aa
Gerhard,Andrey,FR,GRÜNE,122405ea-3db5-4784-b7cb-702a98c0366d
Sibel,Arslan,BS,BastA,c48c9098-1e88-4166-941f-4635e1bf79f9
Mustafa,Atici,BS,SP,16fe6c9a-b86e-46fb-9d96-87fadd45a63e
Christine,Badertscher,BE,GRÜNE,267c74c2-6c33-45e1-b5f4-1a48fa93ed45
