Autorenschaft	Gender
Adalet Kaplan	f
Adam Broomberg	m
Adam Higton	m
Adelina Gashi	f
Adriana Loureiro Fernández	f
Adrienne Fichter	f
AHAOK	
Alain Griffel	m
Alexandra Compain-Tissier	f
Alfred Schlienger	m
Aline Zalko	f
Amir Ali	m
Andrea Arezina	f
Andrea Köhler	f
Andrea Ventura	f
Andreas Fink	m
Andreas Gefe	m
Andreas Klaeui	m
Andreas Moor	m
Andreas Nentwich	m
Andreas Rinke	m
Andrei Pungovschi	m
Andrey Kasay	m
Angelika Overath	f
Anja Conzett	f
Anna Coninx	f
Anna Jikhareva	f
Anna Julia Schlegel	f
Anna Miller	f
Anna-Verena Nosthoff	f
Anne Applebaum	f
Anne Gabriel-Jürgens	f
Anne Gabriel-Jürgens	f
Anne Morgenstern	f
Anne Vonderstein	f
Annick Ramp	f
Arian Bastani	m
Ariel Hauptmeier	m
Augustin Rebetez	m
Aurel Märki	m
Axel Simon	m
Barbara Bachmann	f
Barbara Villiger Heilig	f
Benedict Wermter	m
Benedikt Boucsein	m
Benedikt Narodoslawsky	m
Benjamin Güdel	m
Benjamin von Wyl	m
Bernhard C. Schär	m
Bernhard Schmid	m
Bettina Hamilton-Irvine	f
Birgit Schönau	f
Birthe Mühlhoff	f
Brigitte Hürlimann	f
Brigitte Meyer	f
Bushra al-Maqtari	f
Cachetejack	
Carla Allenbach	f
Carlos Hanimann	m
Charles Hawley	m
Charlotte Theile	f
Chrigel Farner	m
Christian Grund	m
Christian Heuss	m
Christian Lutz	m
Christian Odendahl	m
Christian Werner	m
Christine Wahl	f
Christof Moser	m
Christof Zurschmitten	m
Claude Longchamp	m
Claudia Schildknecht	f
Claudio Bucher	m
Constantin Seibt	m
Cyrill Matter	m
Dalia Khamissy	f
Daniel Barnbeck	m
Daniel Berchtold	m
Daniel Binswanger	m
Daniel Graf	m
Daniel Hürlimann	m
Daniel Kaufmann	m
Daniel Ryser	m
Daniel Strassberg	m
Daria Wild	f
Daryl Lindsey	m
David Karasek	m
Davide Baroni	m
Dejan Škipina	m
Dennis Bühler	m
Diana Pfammatter	f
Dirk Gieselmann	m
Dominic Nahr	m
Dominik Osswald	m
Dominique Strebel	f
Doris Wöhncke	f
Doug Chayka	m
Douglas Mandry	m
Eckhard Henscheid	m
Edmund Willison	m
Ekkehard Knörer	m
Elia Blülle	m
Elisabeth Bronfen	f
Elisabeth Joris	f
Elisabeth Moch	f
Elisabeth Plessen	f
Elisabeth Wagner	f
Elsbeth Bräuer	f
Emilia Smechowski	f
Erich Follath	m
Eva Wolfangel	f
Evan Ruetsch	m
Expeditionsteam	
Fatima Moumouni	m
Felix Maschewski	m
Florian Bissig	m
Florian Egli	m
Florian Fisch	m
Florian Kalotay	m
Flórián Kalotay	m
Florian Oegerli	m
Florian Wicki	m
Franklin Foer	m
Franziska Engelhardt	f
Franziska Grillmeier	f
Franziska Schutzbach	f
Franziska Tschinderle	f
Friedemann Karig	m
Gabriel Heim	m
Gabriel Züllig	m
Gianna Molinari	f
Gianni Cipriano	m
Gion-Mattias Durband	m
Goran Basic	m
Grafilu	
Gregory Gilbert-Lodge	m
Grit Hartmann	f
Guadalupe Ruiz	f
Guido Steinberg	m
Hajo Seppelt	m
Hanna Engelmeier	f
Hanna Wick	f
Hansjörg Siegenthaler	m
Helen Lewis	f
Helene von Bismarck	f
Helmut Böttiger	m
Helmut Wachter	m
Holger Stark	m
Immo Klink	m
Ioannis Antypas	m
Irena Brežná	f
Isabel Martínez	f
Isabelle Schwab	f
Isolde Charim	f
Ivo Scherrer	m
Jack Davolio	m
Jakob Tanner	m
Jamal Khashoggi	m
Jan Wilm	m
Jana Avanzini	f
Jelka von Langen	f
Jens Balzer	m
Jérôme Endrass	m
Jessica Jurassica	f
Jim Rutenberg	m
Joan Minder	f
Joan Wong	f
Johnny Haeusler	m
Jonas Lüscher	m
Jonas Vogt	m
Jonathan Mahler	m
Jörg Heiser	m
Jörn Kaspuhl	m
José A. Alvarado Jr.	m
Joseph de Weck	m
Julia Spiers	f
Jürgen Kleinschnitger	m
Karin Cerny	f
Katharina Hamberger	f
Kathrin Spirk	f
Kilian Kirchgessner	m
Kim Allamand	m
Kirsten Luce	f
Krsto Lazarević	m
Kwennie Cheng	f
Laurence Rasti	m
Lawrence Grimm	m
Leandra Bias	f
Lee Alan Dugatkin	m
Leillo	
Lena Vöcklinghaus	f
Leonard Rothmoser	m
Lina Zbinden	f
Linards Udris	m
Linus Bill	m
Lisa Schwaiger	f
Ludovic Rocchi	m
Luis Mazón	m
Lukas Bärfuss	m
Lukas Gansterer	m
Lukas Hässig	m
Lukas Nyffenegger	m
Manfred Elsig	m
Manfred Koch	m
Manuel Puppis	m
Marc Zitzmann	m
Marcel Alexander Niggli	m
Marcel Hänggi	m
Marco Di Nardo	m
Marco Frauchiger	m
Marco Salvi	m
Marcus Hernig	m
Marcus Pfeil	m
Maren Meyer	f
Margarete Stokowski	f
Margrit Sprecher	f
Marguerite Meyer	f
Maria Stepanova	f
Mark Dittli	m
Mark Eisenegger	m
Mark Henley	m
Markus Felber	m
Markus Notter	m
Markus Reichert	m
Martin Alioth	m
Martin Valentin Fuchs	m
Mathis Neuhaus	m
Matthew Green	m
Matthias Ziegler	m
Matthieu Aikins	m
Maurice Haas	m
Maurizio di Iorio	m
Mauro D’Agati	m
Max Glauner	m
Maximilian Stern	m
Melinda Nadj Abonji	f
Merlin Flügel	m
Michael Butter	m
Michael Ebmeyer	m
Michael Kuratli	m
Michael Meier	m
Michael Rüegg	m
Michael Soukup	m
Michael Steinberger	m
Michel Venetz	m
Michelle Akanji	f
Michi Strausfeld	f
Milad Ahmadvand	m
Minh Thu Tran	f
Miriam Suter	f
Mit Roger de Weck	m
Mona Fahmy	f
Monika Bolliger	f
Monika Höfler	f
Mrzyk + Moriceau	
Nadine Redlich	f
Nadja Athanasiou	f
Nadja Capus	f
Nick Lobeck	m
Nicoletta Cimmino	f
Nils Markwardt	m
Nina Fargahi	f
Odile Kennel	f
Olga Radetzkaja	f
Oliver Bilger	m
Oliver Chanarin	m
Oliver Fuchs	m
Oliver Hümbelin	m
Oliver Schröm	m
Oliver Würgler	m
Olivia Kühni	f
Olivier Würgler	m
Ómar Sverrisson	m
Oscar Alba	m
Paola Subacchi	f
Pascal Guntern	m
Patrick Recher	m
Patrick Venetz	m
Paul Cohen	m
Paul Kranzler	m
Paul Lehr	m
Peter Hagmann	m
Peter Nonnenmacher	m
Peter Révai	m
Philip Ursprung	m
Philipp Albrecht	m
Philipp Lichterbeck	m
Pietro Masturzo	m
Rainer René Mueller	m
Remo Grolimund	m
René Ammann	m
Republik-Jury	
Rery Maldonado	m
Reto Sterchi	m
Rob Evans	m
Robert Evans	m
Robert Menasse	m
Robin Detje	m
Roger de Weck	m
Ronan Farrow	m
Ronja Beck	f
Ross McDonnell	m
Ruben Wyttenbach	m
Sabrina Bundi	f
Sara Alfort	f
Sarah Fuhrmann	f
Sascha Rijkeboer	
Scott Pilgrim	m
Seraina Kobler	f
Serge Hoeltschi	m
Serge von Arx	m
Sibylle Berg	f
Sieglinde Geisel	f
Silvan Aeschlimann	m
Simon Froehling	m
Simon John	m
Simon Schlauri	m
Simon Schmid	m
Simon Spiegel	m
Simon Tanner	m
Simone Brunner	f
Sina Bühler	f
Solmaz Khorsand	f
Sotiris Sideris	m
Stefan Zweifel	m
Stefanie Müller-Frank	m
Stephan Hille	m
Stephanie Füssenich	m
Stéphanie Le Bars	m
Sylke Gruhnwald	f
Sylvia Sasse	f
Tamara Ehs	f
Tamara Lardori	f
Tanja Messerli	f
Ted Parker	m
Thom Nagy	m
Thomas Brasey	m
Thomas Hebsgaard	m
Thomas Krumenacker	m
